Date,Country,Status,AQI Value
2023-04-06,Algeria,Moderate,55
2023-04-06,Andorra,Good,19
2023-04-06,Angola,Moderate,66
2023-04-06,Argentina,Good,18
2023-04-06,Armenia,Good,42
2023-04-06,Australia,Moderate,66
2023-04-06,Austria,Moderate,56
2023-04-06,Azerbaijan,Good,44
2023-04-06,Bahrain,Moderate,93
2023-04-06,Bangladesh,Unhealthy for Sensitive Groups,135
2023-04-06,Belarus,Moderate,61
2023-04-06,Belgium,Moderate,84
2023-04-06,Belize,Good,23
2023-04-06,Bermuda,Good,15
2023-04-06,Bolivia,Good,4
2023-04-06,Bosnia and Herzegovina,Moderate,87
2023-04-06,Brazil,Moderate,59
2023-04-06,Brunei,Good,13
2023-04-06,Bulgaria,Good,20
2023-04-06,Burkina Faso,Hazardous,304
2023-04-06,Cambodia,Moderate,65
2023-04-06,Canada,Moderate,66
2023-04-06,Cape Verde,Good,27
2023-04-06,Cayman Islands,Moderate,62
2023-04-06,Central African Republic,Unhealthy for Sensitive Groups,139
2023-04-06,Chad,Unhealthy,172
2023-04-06,Chile,Moderate,72
2023-04-06,China,Hazardous,325
2023-04-06,Colombia,Moderate,92
2023-04-06,Costa Rica,Good,17
2023-04-06,Croatia,Good,47
2023-04-06,Cyprus,Moderate,55
2023-04-06,Czech Republic,Unhealthy for Sensitive Groups,131
2023-04-06,Denmark,Good,27
2023-04-06,Dominican Republic,Good,20
2023-04-06,Ecuador,Good,23
2023-04-06,Egypt,Good,38
2023-04-06,El Salvador,Moderate,80
2023-04-06,Estonia,Good,30
2023-04-06,Ethiopia,Moderate,93
2023-04-06,Finland,Moderate,69
2023-04-06,France,Moderate,82
2023-04-06,French Guiana,Moderate,100
2023-04-06,Gabon,Moderate,54
2023-04-06,Georgia,Moderate,61
2023-04-06,Germany,Moderate,74
2023-04-06,Ghana,Moderate,56
2023-04-06,Gibraltar,Good,40
2023-04-06,Greece,Moderate,55
2023-04-06,Grenada,Good,40
